コード,銘柄名,カテゴリ,取得時刻,PER,PBR,利回り,始値,高値,安値,終値,出来高,売買代金,VWAP,約定回数,売買最低代金,単元株数,時価総額,売り残(06/26),買り残(06/26),信用倍率(06/26)
2413,エムスリー,東証１,15:00,－倍,19.10倍,－％,"4,520","4,675","4,490","4,675","2,359,000 株","10,903 百万円","4,621.763 円","3,984 回","467,500 円",100 株,"3兆1,729億円",840.7,882.9,1.05
2432,ディー・エヌ・エー,東証１,15:00,－倍,0.91倍,－％,"1,315","1,339","1,315","1,332","662,100 株",880 百万円,"1,328.896 円","1,847 回","133,200 円",100 株,"1,734億円",284.1,753.2,2.65
4324,電通グループ,東証１,15:00,－倍,0.85倍,3.72％,"2,595","2,622","2,527","2,556","843,200 株","2,160 百万円","2,562.039 円","2,736 回","255,600 円",100 株,"7,372億円",631.4,"1,055.7",1.67
4689,Ｚホールディングス,東証１,15:00,－倍,3.22倍,－％,518,526,515,522,"12,052,600 株","6,283 百万円",521.299 円,"3,042 回","52,200 円",100 株,"2兆5,174億円","6,204.9","4,292.0",0.69
4704,トレンドマイクロ,東証１,15:00,31.1倍,4.97倍,－％,"6,080","6,130","6,040","6,100","325,600 株","1,981 百万円","6,085.221 円",718 回,"610,000 円",100 株,"8,572億円",128.1,145.5,1.14
4751,サイバーエージェント,東証１,15:00,78.5倍,8.89倍,0.59％,"5,380","5,600","5,350","5,600","883,600 株","4,865 百万円","5,506.056 円","1,350 回","560,000 円",100 株,"7,080億円",528.3,298.7,0.57
4755,楽天,東証１,15:00,－倍,1.88倍,－％,958,961,933,943,"6,067,000 株","5,729 百万円",944.249 円,"4,137 回","94,300 円",100 株,"1兆3,528億円","2,583.9","4,182.3",1.62
6098,リクルート,東証１,15:00,－倍,6.07倍,－％,"3,662.0","3,665.0","3,587.0","3,642.0","1,895,800 株","6,885 百万円","3,631.706 円","4,138 回","364,200 円",100 株,"6兆1,773億円","1,381.5","1,667.1",1.21
6178,日本郵政,東証１,15:00,11.0倍,0.28倍,－％,769.4,771.0,756.2,762.6,"2,485,900 株","1,893 百万円",761.618 円,"3,993 回","76,260 円",100 株,"3兆4,317億円",809.1,"4,936.5",6.10
9602,東宝,東証１,15:00,－倍,1.79倍,0.92％,"3,775","3,815","3,750","3,785","167,700 株",634 百万円,"3,779.645 円",474 回,"378,500 円",100 株,"7,059億円",222.1,116.2,0.52
9735,セコム,東証１,15:00,26.1倍,1.99倍,1.80％,"9,400","9,510","9,339","9,434","381,400 株","3,592 百万円","9,416.862 円","1,655 回","943,400 円",100 株,"2兆2,009億円",68.1,30.5,0.45
9766,コナミホールディングス,東証１,15:00,－倍,1.75倍,－％,"3,490","3,560","3,475","3,515","432,200 株","1,517 百万円","3,510.191 円",985 回,"351,500 円",100 株,"5,044億円",103.7,119.1,1.15
1605,国際石油開発帝石,東証１,15:00,96.6倍,0.32倍,3.63％,670.0,671.8,656.1,661.5,"5,902,800 株","3,909 百万円",662.298 円,"10,511 回","66,150 円",100 株,"9,673億円","1,598.0","7,160.4",4.48
3101,東洋紡,東証１,15:00,－倍,0.73倍,－％,"1,489","1,489","1,452","1,472","260,100 株",382 百万円,"1,468.836 円",789 回,"147,200 円",100 株,"1,311億円",128.5,251.6,1.96
3103,ユニチカ,東証１,15:00,－倍,0.55倍,－％,336,340,331,336,"449,200 株",150 百万円,334.911 円,558 回,"33,600 円",100 株,194億円,797.7,"1,098.2",1.38
3401,帝人,東証１,15:00,13.9倍,0.81倍,－％,"1,691","1,695","1,654","1,667","489,700 株",816 百万円,"1,667.206 円","1,282 回","166,700 円",100 株,"3,300億円",233.3,797.4,3.42
3402,東レ,東証１,15:00,20.1倍,0.73倍,1.79％,509.2,511.0,497.1,502.0,"4,477,300 株","2,247 百万円",501.819 円,"5,856 回","50,200 円",100 株,"8,190億円","1,343.0","8,033.7",5.98
3861,王子ホールディングス,東証１,15:00,9.5倍,0.69倍,2.91％,486,490,476,481,"2,453,100 株","1,179 百万円",480.583 円,"1,642 回","48,100 円",100 株,"4,879億円",629.7,"1,380.6",2.19
3863,日本製紙,東証１,15:00,－倍,0.45倍,2.77％,"1,481","1,489","1,439","1,446","482,100 株",699 百万円,"1,450.627 円","1,369 回","144,600 円",100 株,"1,681億円",138.8,138.4,1.00
3405,クラレ,東証１,15:00,－倍,0.72倍,3.89％,"1,117","1,119","1,078","1,079","1,327,900 株","1,446 百万円","1,088.577 円","1,902 回","107,900 円",100 株,"3,829億円",516.3,405.5,0.79
3407,旭化成,東証１,15:00,－倍,0.87倍,－％,863.8,863.9,839.4,850.7,"3,124,000 株","2,658 百万円",850.684 円,"5,668 回","85,070 円",100 株,"1兆1,858億円",426.8,"2,202.5",5.16
4004,昭和電工,東証１,15:00,－倍,0.73倍,－％,"2,377","2,385","2,331","2,356","670,000 株","1,576 百万円","2,352.209 円","1,964 回","235,600 円",100 株,"3,527億円",800.6,"1,088.7",1.36
4005,住友化学,東証１,15:00,－倍,0.57倍,－％,326,326,316,321,"9,806,300 株","3,141 百万円",320.301 円,"1,963 回","32,100 円",100 株,"5,314億円","2,113.6","9,920.2",4.69
4021,日産化学,東証１,15:00,26.1倍,4.37倍,1.73％,"5,520","5,600","5,480","5,560","276,900 株","1,537 百万円","5,551.658 円",699 回,"556,000 円",100 株,"8,118億円",181.9,30.2,0.17
4042,東ソー,東証１,15:00,－倍,0.82倍,3.84％,"1,477","1,481","1,449","1,458","776,300 株","1,133 百万円","1,459.949 円","1,746 回","145,800 円",100 株,"4,740億円",176.8,224.0,1.27
4043,トクヤマ,東証１,15:00,7.8倍,1.02倍,－％,"2,523","2,529","2,439","2,473","306,900 株",760 百万円,"2,477.223 円","1,336 回","247,300 円",100 株,"1,729億円",48.0,188.3,3.92
4061,デンカ,東証１,15:00,10.6倍,0.89倍,－％,"2,593","2,617","2,552","2,583","323,400 株",833 百万円,"2,575.492 円","1,192 回","258,300 円",100 株,"2,287億円",83.2,"1,592.1",19.14
4063,信越化学工業,東証１,15:00,－倍,1.96倍,－％,"12,365","12,475","12,300","12,475","659,400 株","8,181 百万円","12,407.214 円","2,354 回","1,247,500 円",100 株,"5兆1,979億円",181.2,244.5,1.35
4183,三井化学,東証１,15:00,21.1倍,0.80倍,－％,"2,255","2,264","2,191","2,218","499,600 株","1,107 百万円","2,215.74 円","1,439 回","221,800 円",100 株,"4,538億円",322.6,194.5,0.60
4188,三菱ケミＨＤ,東証１,15:00,18.1倍,0.76倍,3.85％,621.1,624.9,616.7,623.6,"5,254,000 株","3,264 百万円",621.221 円,"9,064 回","62,360 円",100 株,"9,393億円",876.2,"3,233.2",3.69
4208,宇部興産,東証１,15:00,13.1倍,0.55倍,4.95％,"1,848","1,854","1,800","1,818","302,000 株",549 百万円,"1,817.818 円","1,072 回","181,800 円",100 株,"1,931億円",86.4,328.5,3.80
4272,日本化薬,東証１,15:00,－倍,0.89倍,2.76％,"1,100","1,103","1,079","1,088","169,900 株",185 百万円,"1,087.879 円",515 回,"108,800 円",100 株,"1,931億円",351.0,41.6,0.12
